Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2019,2020,Estimates Start After
Ecuador,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: U.S. dollar Data last updated: 09/2019,17.268,17.511,2018
Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",302.256,353.003,2018
Egypt,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.26","1,502.13",2018
Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,046.59","3,478.11",2018
Egypt,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.981,1.005,2018
Egypt,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2017/18 Primary domestic currency: Egyptian pound Data last updated: 09/2019,8.612,7.868,2018
Egypt,Population,Persons,Millions,Source: Central Agency for Public Mobilization and Statistics (CAPMAS) Latest actual data: 2017/18 Primary domestic currency: Egyptian pound Data last updated: 09/2019,99.211,101.493,2018
El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",26.871,27.918,2018
El Salvador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",55.731,58.145,2018
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,008.02","4,126.15",2018
El Salvador,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.039,0.039,2018
El Salvador,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: Not applicable Primary domestic currency: U.S. dollar Data last updated: 09/2019,7.019,7.119,2018
El Salvador,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: U.S. dollar Data last updated: 09/2019,6.704,6.766,2018
Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.142,11.635,2017
Equatorial Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",28.97,28.071,2017
Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,927.44","8,273.83",2015
Equatorial Guinea,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.02,0.019,2017
Equatorial Guinea,Unemployment rate,Percent of total labor force,,,,,
Equatorial Guinea,Population,Persons,Millions,Source: Other Latest actual data: 2015 Notes: Population series is based on United Nations (UN) estimates. The last national census was conducted in 2015. Population figures used by the country authorities differ substantially from the UN estimates. Primary domestic currency: CFA franc Data last updated: 09/2019,1.36,1.406,2015
Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.11,2.193,2018
Eritrea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.526,6.912,2018
Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",342.6,349.788,2006
Eritrea,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.005,0.005,2018
Eritrea,Unemployment rate,Percent of total labor force,,,,,
Eritrea,Population,Persons,Millions,Source: UN Population Prospects 2006 Latest actual data: 2006 Primary domestic currency: Eritrean nakfa Data last updated: 09/2019,6.159,6.269,2006
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",31.038,32.742,2018
Estonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",47.306,49.644,2018
Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,523.60","24,802.77",2018
Estonia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.033,0.033,2018
Estonia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2019,4.693,4.69,2018
Estonia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Euro Data last updated: 09/2019,1.319,1.32,2018
Eswatini,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.657,4.784,2017
Eswatini,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.444,12.756,2017
Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,176.75","4,244.99",2017
Eswatini,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.009,0.009,2017
Eswatini,Unemployment rate,Percent of total labor force,,,,,
Eswatini,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Swaziland lilangeni Data last updated: 09/2019,1.115,1.127,2017
Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",91.166,103.607,2018
Ethiopia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",240.168,262.564,2018
Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",953.179,"1,066.20",2016
Ethiopia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.169,0.176,2018
Ethiopia,Unemployment rate,Percent of total labor force,,,,,
Ethiopia,Population,Persons,Millions,Source: International Financial Institution. Human Development Indicators Latest actual data: 2015/16 Primary domestic currency: Ethiopian birr Data last updated: 09/2019,95.644,97.175,2016
Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.708,6.062,2018
Fiji,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.868,11.417,2018
Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,379.71","6,737.43",2017
Fiji,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.008,0.008,2018
Fiji,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. 2012-2013 unemployment rate are missing since the authority didn't provide it. The numbers here are based on linear interpolation using 2011 and 2014 data. Latest actual data: 2017 Employment type: Not applicable Primary domestic currency: Fiji dollar Data last updated: 09/2019,4.5,4.5,2017
Fiji,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Fiji dollar Data last updated: 09/2019,0.895,0.9,2017
Finland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",269.654,280.709,2018
Finland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",264.72,273.929,2018
Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","48,868.74","50,774.20",2018
Finland,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.187,0.183,2018
Finland,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2019,6.54,6.4,2018
Finland,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Euro Data last updated: 09/2019,5.518,5.529,2018
France,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,707.07","2,771.62",2018
France,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,061.14","3,161.34",2018
France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","41,760.61","42,643.95",2018
France,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",2.158,2.114,2018
France,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 09/2019,8.62,8.431,2018
France,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Euro Data last updated: 09/2019,64.824,64.994,2018
Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.877,17.623,2018
Gabon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",39.648,41.817,2018
Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,112.32","8,361.04",2004
Gabon,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.028,0.028,2018
Gabon,Unemployment rate,Percent of total labor force,,,,,
Gabon,Population,Persons,Millions,Source: National Statistics Office. In close cooperation with World Bank and country authorities. Latest actual data: 2004 Primary domestic currency: CFA franc Data last updated: 08/2019,2.08,2.108,2004
The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.773,1.925,2018
The Gambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.448,6.997,2018
The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",755.046,795.704,2017
The Gambia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.005,0.005,2018
The Gambia,Unemployment rate,Percent of total labor force,,,,,
The Gambia,Population,Persons,Millions,Source: International Financial Institution. Human Development Indicators Latest actual data: 2017 Primary domestic currency: Gambian dalasi Data last updated: 09/2019,2.349,2.419,2017
Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15.925,17.007,2018
Georgia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",45.398,48.522,2018
Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,289.32","4,626.41",2015
Georgia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.032,0.032,2018
Georgia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2015 Employment type: Harmonized ILO definition Primary domestic currency: Georgian lari Data last updated: 09/2019,n/a,n/a,2015
Georgia,Population,Persons,Millions,Source: National Statistics Office. Census surveys were conducted in 2002 and 2014. Data from 2003 to 2013 have been computed via linear interpolation and are inconsistent with data from the authorities which have not been back-cast following the results of the 2014 census Latest actual data: 2015 Primary domestic currency: Georgian lari Data last updated: 09/2019,3.713,3.676,2015
Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,863.34","3,982.24",2018
Germany,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","4,444.37","4,589.12",2018
Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","46,563.99","47,992.32",2018
Germany,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",3.133,3.069,2018
Germany,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2019,3.206,3.273,2018
Germany,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Primary domestic currency: Euro Data last updated: 09/2019,82.969,82.977,2018
Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",67.077,69.757,2018
Ghana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",209.844,226.009,2018
Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,223.42","2,266.41",0
Ghana,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.148,0.151,2018
Ghana,Unemployment rate,Percent of total labor force,,,,,
Ghana,Population,Persons,Millions,Source: National Statistics Office Latest actual data: IMF staff estimates Notes: Data cannot be confirmed by national sources at this time. Primary domestic currency: Ghanaian cedi Data last updated: 08/2019,30.168,30.779,0
Greece,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",214.012,222.785,2018
Greece,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",324.128,337.9,2018
Greece,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,974.37","20,845.32",2018
Greece,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.228,0.226,2018
Greece,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2018. For quarterly data, latest actual is 2018Q4. Notes: The historical data source for unit labor costs in manufacturing is eurostat. Employment type: National definition Primary domestic currency: Euro Data last updated: 08/2019",17.802,16.823,2018
Greece,Population,Persons,Millions,"Source: National Statistics Office. Formally, the Statistical Office of the European Communities (EUROSTAT) Latest actual data: 2018 Primary domestic currency: Euro Data last updated: 08/2019",10.714,10.688,2018
Grenada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.238,1.295,2018
Grenada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.819,1.905,2018
Grenada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,381.38","11,848.12",2016
Grenada,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.001,0.001,2018
Grenada,Unemployment rate,Percent of total labor force,,,,,
Grenada,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2016 Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2019,0.109,0.109,2016
Guatemala,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",81.318,86.397,2018
Guatemala,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",153.322,161.902,2018
Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,616.85","4,807.55",2018
Guatemala,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.108,0.108,2018
Guatemala,Unemployment rate,Percent of total labor force,,,,,
Guatemala,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Guatemalan quetzal Data last updated: 09/2019,17.613,17.971,2018
Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.368,14.396,2018
Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",33.265,35.948,2018
Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",981.016,"1,030.71",2014
Guinea,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.023,0.024,2018
Guinea,Unemployment rate,Percent of total labor force,,,,,
Guinea,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2014 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. Primary domestic currency: Guinean franc Data last updated: 08/2019,13.627,13.967,2014
Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.397,1.507,2018
Guinea-Bissau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.585,3.835,2018
Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",786.292,830.209,2017
Guinea-Bissau,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.003,0.003,2018
Guinea-Bissau,Unemployment rate,Percent of total labor force,,,,,
Guinea-Bissau,Population,Persons,Millions,Source: International Financial Institution. Human Development Indicators. Latest actual data: 2017 Primary domestic currency: CFA franc Data last updated: 08/2019,1.776,1.815,2017
Guyana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.121,8.065,2017
Guyana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.135,13.506,2017
Guyana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,252.05","10,249.38",2017
Guyana,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.005,0.009,2017
Guyana,Unemployment rate,Percent of total labor force,,,,,
Guyana,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2017 Primary domestic currency: Guyana dollar Data last updated: 07/2019,0.785,0.787,2017
Haiti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.819,8.709,2018
Haiti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.124,21.801,2018
Haiti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",784.08,765.413,0
Haiti,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.015,0.015,2018
Haiti,Unemployment rate,Percent of total labor force,,,,,
Haiti,Population,Persons,Millions,Source: IMF Staff Estimates Latest actual data: IMF staff estimates Primary domestic currency: Haitian gourde Data last updated: 09/2019,11.248,11.378,0
Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.449,25.314,2017
Honduras,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",51.757,54.647,2017
Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,548.46","2,593.93",2017
Honduras,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.036,0.037,2017
Honduras,Unemployment rate,Percent of total labor force,,"Source: World Development Indicators, The World Bank Latest actual data: 2017. Last population census Employment type: National definition Primary domestic currency: Honduran lempira Data last updated: 08/2019",3.319,3.005,2017
Honduras,Population,Persons,Millions,"Source: World Development Indicators, The World Bank Latest actual data: 2017 Primary domestic currency: Honduran lempira Data last updated: 08/2019",9.594,9.759,2017
Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",372.989,385.274,2018
Hong Kong SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",490.88,507.953,2018
Hong Kong SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","49,334.35","50,460.39",2018
Hong Kong SAR,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.346,0.34,2018
Hong Kong SAR,Unemployment rate,Percent of total labor force,,Source: CEIC Latest actual data: 2018 Employment type: National definition Primary domestic currency: Hong Kong dollar Data last updated: 09/2019,2.944,3.04,2018
Hong Kong SAR,Population,Persons,Millions,Source: CEIC Latest actual data: 2018 Primary domestic currency: Hong Kong dollar Data last updated: 09/2019,7.56,7.635,2018
Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",170.407,180.498,2018
Hungary,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",332.225,350,2018
Hungary,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,463.28","18,535.15",2018
Hungary,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.234,0.234,2018
Hungary,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018. Economically active population aged 15-64. Employment type: Harmonized ILO definition Primary domestic currency: Hungarian forint Data last updated: 09/2019,3.529,3.35,2018
Hungary,Population,Persons,Millions,Source: National Statistics Office. Hungarian Central Statistical Office (HCSO) Latest actual data: 2018 Primary domestic currency: Hungarian forint Data last updated: 09/2019,9.758,9.738,2018
Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.918,24.237,2018
Iceland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.003,20.733,2018
Iceland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","67,037.34","66,601.88",2018
Iceland,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.014,0.014,2018
Iceland,Unemployment rate,Percent of total labor force,,"Source: Labor Directorate Latest actual data: 2018 Notes: LHEM series is from the OECD, hourly earnings in the manufacturing sector Employment type: Other Primary domestic currency: Icelandic króna Data last updated: 09/2019",3.3,3.6,2018
Iceland,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Icelandic króna Data last updated: 09/2019,0.357,0.364,2018
India,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,935.57","3,202.18",2018
India,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","11,325.67","12,362.81",2018
India,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,171.64","2,338.12",2013
India,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",7.984,8.268,2018
India,Unemployment rate,Percent of total labor force,,,,,
India,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2012/13 Primary domestic currency: Indian rupee Data last updated: 09/2019,"1,351.77","1,369.56",2013
Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,111.71","1,204.83",2018
Indonesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,737.48","4,004.99",2018
Indonesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,163.76","4,464.57",2018
Indonesia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",2.635,2.678,2018
Indonesia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Accessed via CEIC Latest actual data: 2017/18 Employment type: National definition Primary domestic currency: Indonesian rupiah Data last updated: 09/2019,5.2,5.01,2018
Indonesia,Population,Persons,Millions,Source: BPS (Statistics Indonesia) and staff estimates. Latest actual data: 2018 Primary domestic currency: Indonesian rupiah Data last updated: 09/2019,266.998,269.865,2018
Islamic Republic of Iran,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",458.5,463.077,2018
Islamic Republic of Iran,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,470.66","1,500.54",2018
Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,506.23","5,503.08",2018
Islamic Republic of Iran,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",1.037,1.003,2018
Islamic Republic of Iran,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2017/18 Employment type: National definition Primary domestic currency: Iranian rial Data last updated: 09/2019,16.784,17.447,2018
Islamic Republic of Iran,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017/18 Primary domestic currency: Iranian rial Data last updated: 09/2019,83.269,84.149,2018
Iraq,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",224.462,232.745,2017
Iraq,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",705.059,752.678,2017
Iraq,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,738.45","5,799.43",2013
Iraq,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.497,0.503,2017
Iraq,Unemployment rate,Percent of total labor force,,,,,
Iraq,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2013 Primary domestic currency: Iraqi dinar  Data last updated: 09/2019,39.115,40.132,2013
Ireland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",384.94,402.05,2018
Ireland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",412.797,435.728,2018
Ireland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","77,771.21","80,264.84",2018
Ireland,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.291,0.291,2018
